in s,C1 in V
-1.9661200E-02,1.18051E+01
-1.9660896E-02,1.18051E+01
-1.9660592E-02,1.17855E+01
-1.9660288E-02,1.18246E+01
-1.9659984E-02,1.18246E+01
-1.9659680E-02,1.18051E+01
-1.9659376E-02,1.17465E+01
-1.9659072E-02,1.17855E+01
-1.9658768E-02,1.17465E+01
-1.9658464E-02,1.17660E+01
-1.9658160E-02,1.18051E+01
-1.9657856E-02,1.18441E+01
-1.9657552E-02,1.17855E+01
-1.9657248E-02,1.17660E+01
-1.9656944E-02,1.17465E+01
-1.9656640E-02,1.17465E+01
-1.9656336E-02,1.18051E+01
-1.9656032E-02,1.17660E+01
-1.9655728E-02,1.18246E+01
-1.9655424E-02,1.18441E+01
-1.9655120E-02,1.18051E+01
-1.9654816E-02,1.17270E+01
-1.9654512E-02,1.17855E+01
-1.9654208E-02,1.17465E+01
-1.9653904E-02,1.17660E+01
-1.9653600E-02,1.18051E+01
-1.9653296E-02,1.18246E+01
-1.9652992E-02,1.18246E+01
-1.9652688E-02,1.17660E+01
-1.9652384E-02,1.18246E+01
-1.9652080E-02,1.18051E+01
-1.9651776E-02,1.18441E+01
-1.9651472E-02,1.17465E+01
-1.9651168E-02,1.18051E+01
-1.9650864E-02,1.17855E+01
-1.9650560E-02,1.17660E+01
-1.9650256E-02,1.17660E+01
-1.9649952E-02,1.18246E+01
-1.9649648E-02,1.17855E+01
-1.9649344E-02,1.17660E+01
-1.9649040E-02,1.18051E+01
-1.9648736E-02,1.18051E+01
-1.9648432E-02,1.18051E+01
-1.9648128E-02,1.18246E+01
-1.9647824E-02,1.17465E+01
-1.9647520E-02,1.18246E+01
-1.9647216E-02,1.17855E+01
-1.9646912E-02,1.17660E+01
-1.9646608E-02,1.18246E+01
-1.9646304E-02,1.18246E+01
-1.9646000E-02,1.17660E+01
-1.9645696E-02,1.18832E+01
-1.9645392E-02,1.18051E+01
-1.9645088E-02,1.17465E+01
-1.9644784E-02,1.18246E+01
-1.9644480E-02,1.17855E+01
-1.9644176E-02,1.17660E+01
-1.9643872E-02,1.17855E+01
-1.9643568E-02,1.18246E+01
-1.9643264E-02,1.18246E+01
-1.9642960E-02,1.17855E+01
-1.9642656E-02,1.17465E+01
-1.9642352E-02,1.18246E+01
-1.9642048E-02,1.18441E+01
-1.9641744E-02,1.18246E+01
-1.9641440E-02,1.17465E+01
-1.9641136E-02,1.17660E+01
-1.9640832E-02,1.18441E+01
-1.9640528E-02,1.18246E+01
-1.9640224E-02,1.17855E+01
-1.9639920E-02,1.18832E+01
-1.9639616E-02,1.17855E+01
-1.9639312E-02,1.18051E+01
-1.9639008E-02,1.17855E+01
-1.9638704E-02,1.18832E+01
-1.9638400E-02,1.17465E+01
-1.9638096E-02,1.17855E+01
-1.9637792E-02,1.17270E+01
-1.9637488E-02,1.17270E+01
-1.9637184E-02,1.17660E+01
-1.9636880E-02,1.17660E+01
-1.9636576E-02,1.18051E+01
-1.9636272E-02,1.17465E+01
-1.9635968E-02,1.17660E+01
-1.9635664E-02,1.18246E+01
-1.9635360E-02,1.18246E+01
-1.9635056E-02,1.18246E+01
-1.9634752E-02,1.18246E+01
-1.9634448E-02,1.18051E+01
-1.9634144E-02,1.17855E+01
-1.9633840E-02,1.18051E+01
-1.9633536E-02,1.17465E+01
-1.9633232E-02,1.18246E+01
-1.9632928E-02,1.17465E+01
-1.9632624E-02,1.18246E+01
-1.9632320E-02,1.18832E+01
-1.9632016E-02,1.18637E+01
-1.9631712E-02,1.18051E+01
-1.9631408E-02,1.18246E+01
-1.9631104E-02,1.17465E+01
-1.9630800E-02,1.18246E+01
-1.9630496E-02,1.18051E+01
-1.9630192E-02,1.18246E+01
-1.9629888E-02,1.18051E+01
-1.9629584E-02,1.18246E+01
-1.9629280E-02,1.17465E+01
-1.9628976E-02,1.18246E+01
-1.9628672E-02,1.18051E+01
-1.9628368E-02,1.18246E+01
-1.9628064E-02,1.18246E+01
-1.9627760E-02,1.18441E+01
-1.9627456E-02,1.17855E+01
-1.9627152E-02,1.18246E+01
-1.9626848E-02,1.17660E+01
-1.9626544E-02,1.18051E+01
-1.9626240E-02,1.17660E+01
-1.9625936E-02,1.18441E+01
-1.9625632E-02,1.17660E+01
-1.9625328E-02,1.18051E+01
-1.9625024E-02,1.17855E+01
-1.9624720E-02,1.18051E+01
-1.9624416E-02,1.18832E+01
-1.9624112E-02,1.18246E+01
-1.9623808E-02,1.17855E+01
-1.9623504E-02,1.18051E+01
-1.9623200E-02,1.17465E+01
-1.9622896E-02,1.18441E+01
-1.9622592E-02,1.17855E+01
-1.9622288E-02,1.18246E+01
-1.9621984E-02,1.17660E+01
-1.9621680E-02,1.18246E+01
-1.9621376E-02,1.17270E+01
-1.9621072E-02,1.17660E+01
-1.9620768E-02,1.17660E+01
