in s,C1 in V
-1.7265859E-02,1.193515E+01
-1.7265594E-02,1.193320E+01
-1.7265328E-02,1.193124E+01
-1.7265062E-02,1.193320E+01
-1.7264797E-02,1.193320E+01
-1.7264531E-02,1.193710E+01
-1.7264266E-02,1.193710E+01
-1.7264000E-02,1.193320E+01
-1.7263734E-02,1.193124E+01
-1.7263469E-02,1.193515E+01
-1.7263203E-02,1.193710E+01
-1.7262938E-02,1.193124E+01
-1.7262672E-02,1.193515E+01
-1.7262406E-02,1.193515E+01
-1.7262141E-02,1.193710E+01
-1.7261875E-02,1.192929E+01
-1.7261610E-02,1.193320E+01
-1.7261344E-02,1.193710E+01
-1.7261078E-02,1.194296E+01
-1.7260813E-02,1.193320E+01
-1.7260547E-02,1.193905E+01
-1.7260282E-02,1.193515E+01
-1.7260016E-02,1.193320E+01
-1.7259750E-02,1.192929E+01
-1.7259485E-02,1.193710E+01
-1.7259219E-02,1.193905E+01
-1.7258954E-02,1.192538E+01
-1.7258688E-02,1.193320E+01
-1.7258422E-02,1.193320E+01
-1.7258157E-02,1.193710E+01
-1.7257891E-02,1.193124E+01
-1.7257626E-02,1.193905E+01
-1.7257360E-02,1.193320E+01
-1.7257094E-02,1.193320E+01
-1.7256829E-02,1.193710E+01
-1.7256563E-02,1.193515E+01
-1.7256298E-02,1.193905E+01
-1.7256032E-02,1.193710E+01
-1.7255766E-02,1.193515E+01
-1.7255501E-02,1.193320E+01
-1.7255235E-02,1.193710E+01
-1.7254970E-02,1.193320E+01
-1.7254704E-02,1.193710E+01
-1.7254438E-02,1.194296E+01
-1.7254173E-02,1.193320E+01
-1.7253907E-02,1.191171E+01
-1.7253642E-02,1.192929E+01
-1.7253376E-02,1.194101E+01
-1.7253110E-02,1.192929E+01
-1.7252845E-02,1.194101E+01
-1.7252579E-02,1.193124E+01
-1.7252314E-02,1.193515E+01
-1.7252048E-02,1.193710E+01
-1.7251782E-02,1.193320E+01
-1.7251517E-02,1.193905E+01
-1.7251251E-02,1.193320E+01
-1.7250986E-02,1.193124E+01
-1.7250720E-02,1.193320E+01
-1.7250454E-02,1.193710E+01
-1.7250189E-02,1.193515E+01
-1.7249923E-02,1.193710E+01
-1.7249658E-02,1.193905E+01
-1.7249392E-02,1.193905E+01
-1.7249126E-02,1.193515E+01
-1.7248861E-02,1.193124E+01
-1.7248595E-02,1.194101E+01
-1.7248330E-02,1.193710E+01
-1.7248064E-02,1.193124E+01
-1.7247798E-02,1.193124E+01
-1.7247533E-02,1.194101E+01
-1.7247267E-02,1.193320E+01
-1.7247002E-02,1.193515E+01
-1.7246736E-02,1.194101E+01
-1.7246470E-02,1.193515E+01
